Test Description,Client,Hypothesis,Rationale,Walkthrough Video URL,Placement,Placement URL,Variants Weight,Primary Goals,Design Brief,Development Brief,Media/Links,GEOs,Devices,FIGMA Url,QA Report,QA Passed,PTA 1 Wk Loom URL,Post-Test Analysis (Loom),Describe what happened & what we learned,Next Steps (Action),Revenue Added (MRR) (K Format ),Goal Metric 1,Metric #1 Increase,Goal Metric 2,Metric #2 Increase,Confidence Level,Segment Deploy Applied to,Image Type,Control Image,Variant Image,Post-Test Analysis (Image),Convert Experiment ID,Created By,Record ID (from Brand Name),Brand Record ID,Sync to Schedule,Delete,Reason For Reject,Last Modified
Change hero CTA button text ,,Changing the hero CTA from “Shop Now” to “Get 20% Off Your First Order” will increase add-to-cart rate by 18% by creating stronger urgency and perceived value for new visitors.,"New visitors often hesitate with generic “Shop Now” CTAs due to lack of immediate incentive. A discount-focused message like “Get 20% Off Your First Order” creates perceived value, lowers perceived risk, and builds urgency for first-time buyers, likely lifting add-to-cart rate among cold traffic.",www.walkthroughvideourl.com,LP Hero Section,www.sdfddsfds.com,50/50,"CVR,ATC,RPV",www.fakeurl.com,www.fakeurl.com,www.medialinks.com,Australia,All Devices,,,,,,,,,,,,,,,,,,,,Jayden Grayston,,,https://forms.fillout.com/t/1ezyZa81cqus?test_idea_id=recD8Bnkhz9GM0B2b&brand_name_clean=&brand_id=&test_description=Change%20hero%20CTA%20button%20text%20&hypothesis=Changing%20the%20hero%20CTA%20from%20%E2%80%9CShop%20Now%E2%80%9D%20to%20%E2%80%9CGet%2020%25%20Off%20Your%20First%20Order%E2%80%9D%20will%20increase%20add-to-cart%20rate%20by%2018%25%20by%20creating%20stronger%20urgency%20and%20perceived%20value%20for%20new%20visitors.&rationale=New%20visitors%20often%20hesitate%20with%20generic%20%E2%80%9CShop%20Now%E2%80%9D%20CTAs%20due%20to%20lack%20of%20immediate%20incentive.%20A%20discount-focused%20message%20like%20%E2%80%9CGet%2020%25%20Off%20Your%20First%20Order%E2%80%9D%20creates%20perceived%20value%2C%20lowers%20perceived%20risk%2C%20and%20builds%20urgency%20for%20first-time%20buyers%2C%20likely%20lifting%20add-to-cart%20rate%20among%20cold%20traffic.&placement=LP%20Hero%20Section&variants_weight=50%2F50&category_primary_goals=CVR%2C%20ATC%2C%20RPV&design_brief=www.fakeurl.com&development_brief=www.fakeurl.com&media_links=www.medialinks.com&geos=Australia&devices=All%20Devices&placementURL=www.sdfddsfds.com&walkthroughVideo=www.walkthroughvideourl.com&figmaURL=&qaReport=&pta1WKLoom=&PTAFinalLoom=&whatHappened=&nextSteps=&revenueAdded=&goal1=&incrase1=&goal2=&incrase2=&confidence=&segment=&imageType=&controlImage=&variantImage=&ptaImage=&convertID=,https://more-conversions.app.n8n.cloud/webhook/ee486d3e-8a94-451e-9ef3-1ecee39cf1fc?testID=recD8Bnkhz9GM0B2b&type=deleteTestIdea,,1/15/2026 6:56am
Replace sticky “Add to Cart” ,,Replacing the sticky “Add to Cart” button with a floating one that includes a mini product image + “Only 3 left!” stock warning will boost mobile conversions by 22% by reducing friction and adding scarcity FOMO.,"Mobile users frequently abandon carts when the sticky Add to Cart button feels disconnected from the product. Adding a floating button with a mini product image keeps visual context, while the “Only 3 left!” scarcity trigger creates FOMO and urgency. This combo reduces decision friction and boosts impulse conversions on mobile.",www.walkthroughvideourl.com,Bottom Screen Floating Sticky,www.placementurl.com,50/50,"CVR,SCVR",www.fakeurl.com,www.fakeurl.com,www.medialinks.com,Canada,Desktop,,,,,,,,,,,,,,,,,,,,Jayden Grayston,,,https://forms.fillout.com/t/1ezyZa81cqus?test_idea_id=recyzBra9gAfmF8ZZ&brand_name_clean=&brand_id=&test_description=Replace%20sticky%20%E2%80%9CAdd%20to%20Cart%E2%80%9D%20&hypothesis=Replacing%20the%20sticky%20%E2%80%9CAdd%20to%20Cart%E2%80%9D%20button%20with%20a%20floating%20one%20that%20includes%20a%20mini%20product%20image%20%2B%20%E2%80%9COnly%203%20left%21%E2%80%9D%20stock%20warning%20will%20boost%20mobile%20conversions%20by%2022%25%20by%20reducing%20friction%20and%20adding%20scarcity%20FOMO.&rationale=Mobile%20users%20frequently%20abandon%20carts%20when%20the%20sticky%20Add%20to%20Cart%20button%20feels%20disconnected%20from%20the%20product.%20Adding%20a%20floating%20button%20with%20a%20mini%20product%20image%20keeps%20visual%20context%2C%20while%20the%20%E2%80%9COnly%203%20left%21%E2%80%9D%20scarcity%20trigger%20creates%20FOMO%20and%20urgency.%20This%20combo%20reduces%20decision%20friction%20and%20boosts%20impulse%20conversions%20on%20mobile.&placement=Bottom%20Screen%20Floating%20Sticky&variants_weight=50%2F50&category_primary_goals=CVR%2C%20SCVR&design_brief=www.fakeurl.com&development_brief=www.fakeurl.com&media_links=www.medialinks.com&geos=Canada&devices=Desktop&placementURL=www.placementurl.com&walkthroughVideo=www.walkthroughvideourl.com&figmaURL=&qaReport=&pta1WKLoom=&PTAFinalLoom=&whatHappened=&nextSteps=&revenueAdded=&goal1=&incrase1=&goal2=&incrase2=&confidence=&segment=&imageType=&controlImage=&variantImage=&ptaImage=&convertID=,https://more-conversions.app.n8n.cloud/webhook/ee486d3e-8a94-451e-9ef3-1ecee39cf1fc?testID=recyzBra9gAfmF8ZZ&type=deleteTestIdea,,1/15/2026 6:56am
Sticky Footer CTA Implementation,Cosara,"If we add a persistent sticky footer on mobile with the price and a CTA, then cart additions will increase because the ""path to purchase"" is always available during a long-form scroll.","Heatmaps on long-scroll pages often show a ""dead zone"" in the middle where users are convinced but cannot find the button, leading to bounce.",,Sticky Floating,https://cosara.com/pages/upgrade-uk * CA/US,50/50,"CVR,ATC","A slim, bottom-anchored bar. Left side: Thumbnail of product + ""£85 Upgrade"". Right side: Purple button ""Claim My Discount"".",Trigger bar visibility only after the user scrolls 15% down the page. Ensure it does not overlap with Live Chat icons.,,"United States,Canada,United Kingdom,Australia",All Devices,,,,,,,,,,,,,,,,,,,,Jayden Grayston,rech4cZrhZjxPcTTM,rech4cZrhZjxPcTTM,https://forms.fillout.com/t/1ezyZa81cqus?test_idea_id=recdMCndkC6RXh54w&brand_name_clean=Cosara&brand_id=rech4cZrhZjxPcTTM&test_description=Sticky%20Footer%20CTA%20Implementation&hypothesis=If%20we%20add%20a%20persistent%20sticky%20footer%20on%20mobile%20with%20the%20price%20and%20a%20CTA%2C%20then%20cart%20additions%20will%20increase%20because%20the%20%22path%20to%20purchase%22%20is%20always%20available%20during%20a%20long-form%20scroll.&rationale=Heatmaps%20on%20long-scroll%20pages%20often%20show%20a%20%22dead%20zone%22%20in%20the%20middle%20where%20users%20are%20convinced%20but%20cannot%20find%20the%20button%2C%20leading%20to%20bounce.&placement=Sticky%20Floating&variants_weight=50%2F50&category_primary_goals=CVR%2C%20ATC&design_brief=A%20slim%2C%20bottom-anchored%20bar.%20Left%20side%3A%20Thumbnail%20of%20product%20%2B%20%22%C2%A385%20Upgrade%22.%20Right%20side%3A%20Purple%20button%20%22Claim%20My%20Discount%22.&development_brief=Trigger%20bar%20visibility%20only%20after%20the%20user%20scrolls%2015%25%20down%20the%20page.%20Ensure%20it%20does%20not%20overlap%20with%20Live%20Chat%20icons.&media_links=&geos=United%20States%2C%20Canada%2C%20United%20Kingdom%2C%20Australia&devices=All%20Devices&placementURL=https%3A%2F%2Fcosara.com%2Fpages%2Fupgrade-uk%20%2a%20CA%2FUS&walkthroughVideo=&figmaURL=&qaReport=&pta1WKLoom=&PTAFinalLoom=&whatHappened=&nextSteps=&revenueAdded=&goal1=&incrase1=&goal2=&incrase2=&confidence=&segment=&imageType=&controlImage=&variantImage=&ptaImage=&convertID=,https://more-conversions.app.n8n.cloud/webhook/ee486d3e-8a94-451e-9ef3-1ecee39cf1fc?testID=recdMCndkC6RXh54w&type=deleteTestIdea,,1/3/2026 1:26am
First-Person vs. Second-Person Button Copy,Cosara," If we change CTA copy to first-person (""I Want Triple Stimulation"") instead of second-person (""Upgrade Your Pleasure""), then ATC will increase because it aligns with internal user desire.","Psychological studies in CRO show that ""I want..."" statements reduce the ""command"" feel of a button and increase the user's sense of agency.",,CTA,https://cosara.com/pages/upgrade-uk,33/33/33,"ATC,CVR","Design Brief: No layout change. Update text on all primary buttons to: ""I Want The Upgrade"" and ""I Want Triple Stimulation"".",N/A,,"United States,Canada,United Kingdom,Australia",All Devices,,,,,,,,,,,,,,,,,,,,Jayden Grayston,rech4cZrhZjxPcTTM,rech4cZrhZjxPcTTM,https://forms.fillout.com/t/1ezyZa81cqus?test_idea_id=rec7IQGv0qHiMfrct&brand_name_clean=Cosara&brand_id=rech4cZrhZjxPcTTM&test_description=First-Person%20vs.%20Second-Person%20Button%20Copy&hypothesis=%20If%20we%20change%20CTA%20copy%20to%20first-person%20%28%22I%20Want%20Triple%20Stimulation%22%29%20instead%20of%20second-person%20%28%22Upgrade%20Your%20Pleasure%22%29%2C%20then%20ATC%20will%20increase%20because%20it%20aligns%20with%20internal%20user%20desire.&rationale=Psychological%20studies%20in%20CRO%20show%20that%20%22I%20want...%22%20statements%20reduce%20the%20%22command%22%20feel%20of%20a%20button%20and%20increase%20the%20user%27s%20sense%20of%20agency.&placement=CTA&variants_weight=33%2F33%2F33&category_primary_goals=ATC%2C%20CVR&design_brief=Design%20Brief%3A%20No%20layout%20change.%20Update%20text%20on%20all%20primary%20buttons%20to%3A%20%22I%20Want%20The%20Upgrade%22%20and%20%22I%20Want%20Triple%20Stimulation%22.&development_brief=N%2FA&media_links=&geos=United%20States%2C%20Canada%2C%20United%20Kingdom%2C%20Australia&devices=All%20Devices&placementURL=https%3A%2F%2Fcosara.com%2Fpages%2Fupgrade-uk&walkthroughVideo=&figmaURL=&qaReport=&pta1WKLoom=&PTAFinalLoom=&whatHappened=&nextSteps=&revenueAdded=&goal1=&incrase1=&goal2=&incrase2=&confidence=&segment=&imageType=&controlImage=&variantImage=&ptaImage=&convertID=,https://more-conversions.app.n8n.cloud/webhook/ee486d3e-8a94-451e-9ef3-1ecee39cf1fc?testID=rec7IQGv0qHiMfrct&type=deleteTestIdea,,1/3/2026 1:26am
Expanded Mobile Search Input,Cosara," If we replace the small magnifying glass icon with a full-width search input field that includes placeholder text like ""Search for a sensation (e.g., Suction)"", then search usage and conversion will increase because users can find specific needs without digging through menus.","Search users typically convert at 2-3x the rate of browse users. On mobile, the current search icon is a small target; making it an open field encourages high-intent ""power users"" to act.",,Site-Wide (Search),https://cosara.com/,50/50,"ATC,CVR,AOV,RPV","Move search from a hidden icon to a permanent bar at the top of the mobile screen. Use a light grey background for the input and a clear placeholder: ""Find your pleasure..."".",N/A,,"United States,Canada,United Kingdom,Australia",Mobile,,,,,,,,,,,,,,,,,,,,Jayden Grayston,rech4cZrhZjxPcTTM,rech4cZrhZjxPcTTM,https://forms.fillout.com/t/1ezyZa81cqus?test_idea_id=recOrcdElcz4DJB3e&brand_name_clean=Cosara&brand_id=rech4cZrhZjxPcTTM&test_description=Expanded%20Mobile%20Search%20Input&hypothesis=%20If%20we%20replace%20the%20small%20magnifying%20glass%20icon%20with%20a%20full-width%20search%20input%20field%20that%20includes%20placeholder%20text%20like%20%22Search%20for%20a%20sensation%20%28e.g.%2C%20Suction%29%22%2C%20then%20search%20usage%20and%20conversion%20will%20increase%20because%20users%20can%20find%20specific%20needs%20without%20digging%20through%20menus.&rationale=Search%20users%20typically%20convert%20at%202-3x%20the%20rate%20of%20browse%20users.%20On%20mobile%2C%20the%20current%20search%20icon%20is%20a%20small%20target%3B%20making%20it%20an%20open%20field%20encourages%20high-intent%20%22power%20users%22%20to%20act.&placement=Site-Wide%20%28Search%29&variants_weight=50%2F50&category_primary_goals=ATC%2C%20CVR%2C%20AOV%2C%20RPV&design_brief=Move%20search%20from%20a%20hidden%20icon%20to%20a%20permanent%20bar%20at%20the%20top%20of%20the%20mobile%20screen.%20Use%20a%20light%20grey%20background%20for%20the%20input%20and%20a%20clear%20placeholder%3A%20%22Find%20your%20pleasure...%22.&development_brief=N%2FA&media_links=&geos=United%20States%2C%20Canada%2C%20United%20Kingdom%2C%20Australia&devices=Mobile&placementURL=https%3A%2F%2Fcosara.com%2F&walkthroughVideo=&figmaURL=&qaReport=&pta1WKLoom=&PTAFinalLoom=&whatHappened=&nextSteps=&revenueAdded=&goal1=&incrase1=&goal2=&incrase2=&confidence=&segment=&imageType=&controlImage=&variantImage=&ptaImage=&convertID=,https://more-conversions.app.n8n.cloud/webhook/ee486d3e-8a94-451e-9ef3-1ecee39cf1fc?testID=recOrcdElcz4DJB3e&type=deleteTestIdea,,1/3/2026 1:27am
"The ""Momentum"" CTA Injection",Cosara,"If we insert a CTA block after every primary feature description (Licking, Thrusting, Silent Tech), then the Add-to-Cart rate will increase by capturing impulse at the point of highest excitement.","Currently, the page makes the user read the entire ""story"" before offering a button. This test treats each feature as a standalone reason to buy.",,After Each Primary Section,https://cosara.com/pages/upgrade-uk,50/50,"ATC,CVR","Simple, clean buttons placed directly beneath each feature paragraph. Text: ""Get this Upgrade"".",N/A,,"United States,Canada,United Kingdom,Australia",All Devices,,,,,,,,,,,,,,,,,,,,Jayden Grayston,rech4cZrhZjxPcTTM,rech4cZrhZjxPcTTM,https://forms.fillout.com/t/1ezyZa81cqus?test_idea_id=recEd6ZTVRCDNPyu8&brand_name_clean=Cosara&brand_id=rech4cZrhZjxPcTTM&test_description=The%20%22Momentum%22%20CTA%20Injection&hypothesis=If%20we%20insert%20a%20CTA%20block%20after%20every%20primary%20feature%20description%20%28Licking%2C%20Thrusting%2C%20Silent%20Tech%29%2C%20then%20the%20Add-to-Cart%20rate%20will%20increase%20by%20capturing%20impulse%20at%20the%20point%20of%20highest%20excitement.&rationale=Currently%2C%20the%20page%20makes%20the%20user%20read%20the%20entire%20%22story%22%20before%20offering%20a%20button.%20This%20test%20treats%20each%20feature%20as%20a%20standalone%20reason%20to%20buy.&placement=After%20Each%20Primary%20Section&variants_weight=50%2F50&category_primary_goals=ATC%2C%20CVR&design_brief=Simple%2C%20clean%20buttons%20placed%20directly%20beneath%20each%20feature%20paragraph.%20Text%3A%20%22Get%20this%20Upgrade%22.&development_brief=N%2FA&media_links=&geos=United%20States%2C%20Canada%2C%20United%20Kingdom%2C%20Australia&devices=All%20Devices&placementURL=https%3A%2F%2Fcosara.com%2Fpages%2Fupgrade-uk&walkthroughVideo=&figmaURL=&qaReport=&pta1WKLoom=&PTAFinalLoom=&whatHappened=&nextSteps=&revenueAdded=&goal1=&incrase1=&goal2=&incrase2=&confidence=&segment=&imageType=&controlImage=&variantImage=&ptaImage=&convertID=,https://more-conversions.app.n8n.cloud/webhook/ee486d3e-8a94-451e-9ef3-1ecee39cf1fc?testID=recEd6ZTVRCDNPyu8&type=deleteTestIdea,,1/3/2026 1:27am
Below-CTA Trust Icons,Cosara,"If we add ""Plain Packaging"" and ""Warranty"" icons directly under every primary CTA button, then the CTR will increase because we are handling objections at the moment of peak friction.","Users often hover over a button and think ""Will my roommate see the box?"" or ""What if it breaks?"". Answering these under the button prevents them from leaving to find the shipping policy.",,Below CTA,"https://cosara.com/pages/upgrade-uk, https://cosara.com/",50/50,"ATC,CVR,RPV"," Small, monochromatic icons (box, shield, truck) with 2-word labels placed 10px below the main buttons.",N/A,,"United States,Canada,United Kingdom,Australia",All Devices,,,,,,,,,,,,,,,,,,,,Jayden Grayston,rech4cZrhZjxPcTTM,rech4cZrhZjxPcTTM,https://forms.fillout.com/t/1ezyZa81cqus?test_idea_id=reccuyThTOop2IbrW&brand_name_clean=Cosara&brand_id=rech4cZrhZjxPcTTM&test_description=Below-CTA%20Trust%20Icons&hypothesis=If%20we%20add%20%22Plain%20Packaging%22%20and%20%22Warranty%22%20icons%20directly%20under%20every%20primary%20CTA%20button%2C%20then%20the%20CTR%20will%20increase%20because%20we%20are%20handling%20objections%20at%20the%20moment%20of%20peak%20friction.&rationale=Users%20often%20hover%20over%20a%20button%20and%20think%20%22Will%20my%20roommate%20see%20the%20box%3F%22%20or%20%22What%20if%20it%20breaks%3F%22.%20Answering%20these%20under%20the%20button%20prevents%20them%20from%20leaving%20to%20find%20the%20shipping%20policy.&placement=Below%20CTA&variants_weight=50%2F50&category_primary_goals=ATC%2C%20CVR%2C%20RPV&design_brief=%20Small%2C%20monochromatic%20icons%20%28box%2C%20shield%2C%20truck%29%20with%202-word%20labels%20placed%2010px%20below%20the%20main%20buttons.&development_brief=N%2FA&media_links=&geos=United%20States%2C%20Canada%2C%20United%20Kingdom%2C%20Australia&devices=All%20Devices&placementURL=https%3A%2F%2Fcosara.com%2Fpages%2Fupgrade-uk%2C%20https%3A%2F%2Fcosara.com%2F&walkthroughVideo=&figmaURL=&qaReport=&pta1WKLoom=&PTAFinalLoom=&whatHappened=&nextSteps=&revenueAdded=&goal1=&incrase1=&goal2=&incrase2=&confidence=&segment=&imageType=&controlImage=&variantImage=&ptaImage=&convertID=,https://more-conversions.app.n8n.cloud/webhook/ee486d3e-8a94-451e-9ef3-1ecee39cf1fc?testID=reccuyThTOop2IbrW&type=deleteTestIdea,,1/3/2026 1:26am
"""Silent Tech"" Sound Comparison",Cosara,"If we add a short video or ""sound bar"" comparing a standard vibrator's noise to the Triple Vibe's silent motor, then CVR will increase among users living with roommates or partners.","""How loud is it?"" is a top-3 hidden objection. Proving the silence through a visual decibel meter or video demonstration removes that specific barrier by providing tangible proof.",,Under Comparison Chart,https://cosara.com/pages/upgrade-uk,33/33/33,"ATC,CVR,RPV","A ""Play Sound"" button next to a decibel graphic showing the Triple Vibe operates at <40dB (whisper quiet). Use a wave-form animation to visualize the low frequency. *Second Variant with Comparison",N/A,,"United States,Canada,United Kingdom,Australia",All Devices,,,,,,,,,,,,,,,,,,,,Jayden Grayston,rech4cZrhZjxPcTTM,rech4cZrhZjxPcTTM,https://forms.fillout.com/t/1ezyZa81cqus?test_idea_id=recMktcnrJ6kwJsmn&brand_name_clean=Cosara&brand_id=rech4cZrhZjxPcTTM&test_description=%22Silent%20Tech%22%20Sound%20Comparison&hypothesis=If%20we%20add%20a%20short%20video%20or%20%22sound%20bar%22%20comparing%20a%20standard%20vibrator%27s%20noise%20to%20the%20Triple%20Vibe%27s%20silent%20motor%2C%20then%20CVR%20will%20increase%20among%20users%20living%20with%20roommates%20or%20partners.&rationale=%22How%20loud%20is%20it%3F%22%20is%20a%20top-3%20hidden%20objection.%20Proving%20the%20silence%20through%20a%20visual%20decibel%20meter%20or%20video%20demonstration%20removes%20that%20specific%20barrier%20by%20providing%20tangible%20proof.&placement=Under%20Comparison%20Chart&variants_weight=33%2F33%2F33&category_primary_goals=ATC%2C%20CVR%2C%20RPV&design_brief=A%20%22Play%20Sound%22%20button%20next%20to%20a%20decibel%20graphic%20showing%20the%20Triple%20Vibe%20operates%20at%20%3C40dB%20%28whisper%20quiet%29.%20Use%20a%20wave-form%20animation%20to%20visualize%20the%20low%20frequency.%20%2aSecond%20Variant%20with%20Comparison&development_brief=N%2FA&media_links=&geos=United%20States%2C%20Canada%2C%20United%20Kingdom%2C%20Australia&devices=All%20Devices&placementURL=https%3A%2F%2Fcosara.com%2Fpages%2Fupgrade-uk&walkthroughVideo=&figmaURL=&qaReport=&pta1WKLoom=&PTAFinalLoom=&whatHappened=&nextSteps=&revenueAdded=&goal1=&incrase1=&goal2=&incrase2=&confidence=&segment=&imageType=&controlImage=&variantImage=&ptaImage=&convertID=,https://more-conversions.app.n8n.cloud/webhook/ee486d3e-8a94-451e-9ef3-1ecee39cf1fc?testID=recMktcnrJ6kwJsmn&type=deleteTestIdea,,1/3/2026 1:27am
Unboxing Privacy Assurance,Cosara,"If we show a 5-second loop of a plain, unbranded brown box being delivered and opened to reveal the Triple Vibe, then Cart Abandonment will decrease.","Users fear a giant ""VIBRATOR"" logo on their doorstep. Showing the literal brown box removes the ""Delivery Anxiety"" that kills sales at the final step.",,Before FAQ,https://cosara.com/pages/upgrade-uk,33/33/33,"ATC,CVR,RPV","A high-quality looping GIF or video. Frame 1: A plain brown box on a doorstep (no logos). Frame 2: Box opens to reveal a sleek, premium Cosara box inside. *Create a second variant where the GIF is placed in ""Is your packaging discreet"" question itself",N.A,,"United States,Canada,United Kingdom,Australia",All Devices,,,,,,,,,,,,,,,,,,,,Jayden Grayston,rech4cZrhZjxPcTTM,rech4cZrhZjxPcTTM,https://forms.fillout.com/t/1ezyZa81cqus?test_idea_id=recCA6NGJyO0gCWKw&brand_name_clean=Cosara&brand_id=rech4cZrhZjxPcTTM&test_description=Unboxing%20Privacy%20Assurance&hypothesis=If%20we%20show%20a%205-second%20loop%20of%20a%20plain%2C%20unbranded%20brown%20box%20being%20delivered%20and%20opened%20to%20reveal%20the%20Triple%20Vibe%2C%20then%20Cart%20Abandonment%20will%20decrease.&rationale=Users%20fear%20a%20giant%20%22VIBRATOR%22%20logo%20on%20their%20doorstep.%20Showing%20the%20literal%20brown%20box%20removes%20the%20%22Delivery%20Anxiety%22%20that%20kills%20sales%20at%20the%20final%20step.&placement=Before%20FAQ&variants_weight=33%2F33%2F33&category_primary_goals=ATC%2C%20CVR%2C%20RPV&design_brief=A%20high-quality%20looping%20GIF%20or%20video.%20Frame%201%3A%20A%20plain%20brown%20box%20on%20a%20doorstep%20%28no%20logos%29.%20Frame%202%3A%20Box%20opens%20to%20reveal%20a%20sleek%2C%20premium%20Cosara%20box%20inside.%20%2aCreate%20a%20second%20variant%20where%20the%20GIF%20is%20placed%20in%20%22Is%20your%20packaging%20discreet%22%20question%20itself&development_brief=N.A&media_links=&geos=United%20States%2C%20Canada%2C%20United%20Kingdom%2C%20Australia&devices=All%20Devices&placementURL=https%3A%2F%2Fcosara.com%2Fpages%2Fupgrade-uk&walkthroughVideo=&figmaURL=&qaReport=&pta1WKLoom=&PTAFinalLoom=&whatHappened=&nextSteps=&revenueAdded=&goal1=&incrase1=&goal2=&incrase2=&confidence=&segment=&imageType=&controlImage=&variantImage=&ptaImage=&convertID=,https://more-conversions.app.n8n.cloud/webhook/ee486d3e-8a94-451e-9ef3-1ecee39cf1fc?testID=recCA6NGJyO0gCWKw&type=deleteTestIdea,,1/3/2026 1:26am
PDP Multi-Unit Pre-Select Buy Box,Dr Woof Apparel,"Replacing standard quantity selectors with pre-set boxes (1 Unit, 3 Units, 6 Units) will anchor the user toward higher-quantity purchases, significantly increasing AOV.","Your founder identified that the current UI makes it hard to order more than 1 unit, and Ron noted that competing brands focus heavily on ""packs"".",,PDP Buy Box,drwoofapparel.com/products/,50/50,"AOV,Units per Order","Redesign the PDP buy box to feature three large, selectable blocks above the ""Add to Cart"" button. Block 1: ""1 Pair"", Block 2: ""3 Pairs (Most Popular)"", Block 3: ""6 Pairs (Best Value)"".",,,"US,AU (Primary Focus)",All,,,,,,,,,,,,,,,,,,,,Drew Batcheller,recdcw1a3E21HYkYW,recdcw1a3E21HYkYW,https://forms.fillout.com/t/1ezyZa81cqus?test_idea_id=recaJEuu3AyESfmIT&brand_name_clean=Dr%20Woof%20Apparel&brand_id=recdcw1a3E21HYkYW&test_description=PDP%20Multi-Unit%20Pre-Select%20Buy%20Box&hypothesis=Replacing%20standard%20quantity%20selectors%20with%20pre-set%20boxes%20%281%20Unit%2C%203%20Units%2C%206%20Units%29%20will%20anchor%20the%20user%20toward%20higher-quantity%20purchases%2C%20significantly%20increasing%20AOV.&rationale=Your%20founder%20identified%20that%20the%20current%20UI%20makes%20it%20hard%20to%20order%20more%20than%201%20unit%2C%20and%20Ron%20noted%20that%20competing%20brands%20focus%20heavily%20on%20%22packs%22.&placement=PDP%20Buy%20Box&variants_weight=50%2F50&category_primary_goals=AOV%2C%20Units%20per%20Order&design_brief=Redesign%20the%20PDP%20buy%20box%20to%20feature%20three%20large%2C%20selectable%20blocks%20above%20the%20%22Add%20to%20Cart%22%20button.%20Block%201%3A%20%221%20Pair%22%2C%20Block%202%3A%20%223%20Pairs%20%28Most%20Popular%29%22%2C%20Block%203%3A%20%226%20Pairs%20%28Best%20Value%29%22.&development_brief=&media_links=&geos=US%2C%20AU%20%28Primary%20Focus%29&devices=All&placementURL=drwoofapparel.com%2Fproducts%2F&walkthroughVideo=&figmaURL=&qaReport=&pta1WKLoom=&PTAFinalLoom=&whatHappened=&nextSteps=&revenueAdded=&goal1=&incrase1=&goal2=&incrase2=&confidence=&segment=&imageType=&controlImage=&variantImage=&ptaImage=&convertID=,https://more-conversions.app.n8n.cloud/webhook/ee486d3e-8a94-451e-9ef3-1ecee39cf1fc?testID=recaJEuu3AyESfmIT&type=deleteTestIdea,,2/9/2026 5:49pm
